,model,variables,layer,accuracy
585,290,[2],conv2,0.9290000200271606
586,290,[2],conv3,0.9279999732971191
587,290,[2],fc1,0.8059999942779541
588,291,"[0, 1, 2]",conv1,0.9440000057220459
589,291,"[0, 1, 2]",conv2,0.9309999942779541
590,291,"[0, 1, 2]",conv3,0.9409999847412109
591,291,"[0, 1, 2]",fc1,0.5400000214576721
592,291,"[0, 1]",conv1,0.9160000085830688
593,291,"[0, 1]",conv2,0.9200000166893005
594,291,"[0, 1]",conv3,0.8880000114440918
595,291,"[0, 1]",fc1,0.6690000295639038
596,291,"[0, 2]",conv1,0.9200000166893005
597,291,"[0, 2]",conv2,0.9409999847412109
598,291,"[0, 2]",conv3,0.9039999842643738
599,291,"[0, 2]",fc1,0.6269999742507935
600,291,"[1, 2]",conv1,0.921999990940094
